~     val   C0   C1   C2   C3   C4   C5   C6   C7   C8   C9  C10  C11  C12  C13  C14  C15  C16  C17  C18  C19  C20  C21  C22  C23  C24  C25  C26  C27  C28  C29
C0      S    0   20   24   33   33   43   56   63   61   71   79   86   94  102   93  100  116  124  132  140  148  141  126  118  134  149  157  165  172  184
C1      ~   20    0   18   34   43   50   66   72   68   79   86   93  100  108   97  101  117  125  133  141  149  146  130  123  138  153  161  169  175  186
C2      ~   24   18    0   16   28   34   50   55   50   62   68   75   82   90   79   83   99  107  115  123  131  127  112  104  120  135  143  150  157  167
C3      ~   33   34   16    0   16   19   34   40   34   46   52   59   66   74   63   68   84   92  100  108  116  112   96   89  104  119  127  135  141  152
C4      ~   33   43   28   16    0   10   23   30   28   38   46   53   61   69   60   69   85   93  101  109  117  109   93   85  101  117  125  133  140  152
C5      ~   43   50   34   19   10    0   16   22   18   29   36   44   51   59   50   59   75   83   91   99  107   99   83   75   91  107  115  123  130  142
C6      ~   56   66   50   34   23   16    0    8   11   16   24   32   40   48   41   54   68   76   84   91   99   88   72   64   80   96  104  112  120  133
C7      ~   63   72   55   40   30   22    8    0    8    8   16   24   32   40   33   47   61   68   76   84   91   80   64   56   72   88   96  104  112  125
C8      ~   61   68   50   34   28   18   11    8    0   11   18   25   33   41   32   43   58   66   74   82   89   80   64   57   72   88   96  104  112  124
C9      ~   71   79   62   46   38   29   16    8   11    0    8   16   24   32   25   40   54   61   68   76   84   72   56   48   64   80   88   96  104  117
C10     ~   79   86   68   52   46   36   24   16   18    8    0    8   16   24   18   34   47   54   61   68   76   64   48   40   56   72   80   88   96  109
C11     ~   86   93   75   59   53   44   32   24   25   16    8    0    8   16   11   29   40   47   54   61   68   56   40   32   48   64   72   80   88  101
C12     ~   94  100   82   66   61   51   40   32   33   24   16    8    0    8    8   25   34   40   47   54   61   48   32   24   40   56   64   72   80   93
C13     ~  102  108   90   74   69   59   48   40   41   32   24   16    8    0   11   24   29   34   40   47   54   40   24   16   32   48   56   64   72   86
C14     ~   93   97   79   63   60   50   41   33   32   25   18   11    8   11    0   18   29   36   43   51   58   49   33   25   41   57   64   72   80   92
C15     ~  100  101   83   68   69   59   54   47   43   40   34   29   25   24   18    0   16   24   32   40   48   47   34   29   40   54   61   68   74   84
C16     ~  116  117   99   84   85   75   68   61   58   54   47   40   34   29   29   16    0    8   16   24   32   34   25   24   29   40   47   54   58   68
C17     ~  124  125  107   92   93   83   76   68   66   61   54   47   40   34   36   24    8    0    8   16   24   29   24   25   25   34   40   47   51   61
C18     ~  132  133  115  100  101   91   84   76   74   68   61   54   47   40   43   32   16    8    0    8   16   25   25   29   24   29   34   40   43   53
C19     ~  140  141  123  108  109   99   91   84   82   76   68   61   54   47   51   40   24   16    8    0    8   24   29   34   25   25   29   34   36   45
C20     ~  148  149  131  116  117  107   99   91   89   84   76   68   61   54   58   48   32   24   16    8    0   25   34   40   29   24   25   29   29   37
C21     ~  141  146  127  112  109   99   88   80   80   72   64   56   48   40   49   47   34   29   25   24   25    0   16   24    8    8   16   24   33   47
C22     ~  126  130  112   96   93   83   72   64   64   56   48   40   32   24   33   34   25   24   25   29   34   16    0    8    8   24   32   40   49   62
C23     ~  118  123  104   89   85   75   64   56   57   48   40   32   24   16   25   29   24   25   29   34   40   24    8    0   16   32   40   48   57   70
C24     ~  134  138  120  104  101   91   80   72   72   64   56   48   40   32   41   40   29   25   24   25   29    8    8   16    0   16   24   32   41   54
C25     ~  149  153  135  119  117  107   96   88   88   80   72   64   56   48   57   54   40   34   29   25   24    8   24   32   16    0    8   16   25   39
C26     ~  157  161  143  127  125  115  104   96   96   88   80   72   64   56   64   61   47   40   34   29   25   16   32   40   24    8    0    8   18   32
C27     ~  165  169  150  135  133  123  112  104  104   96   88   80   72   64   72   68   54   47   40   34   29   24   40   48   32   16    8    0   11   26
C28     ~  172  175  157  141  140  130  120  112  112  104   96   88   80   72   80   74   58   51   43   36   29   33   49   57   41   25   18   11    0   14
C29     ~  184  186  167  152  152  142  133  125  124  117  109  101   93   86   92   84   68   61   53   45   37   47   62   70   54   39   32   26   14    0
