~   val   A   B   C   D   E   F   G   H   I   J
A     S   ~   3   ~   ~   ~   ~   ~   ~   ~   ~
B     ~   ~   ~   5   3   ~   ~   ~   ~   ~   ~   
C     ~   ~   5   ~   1   ~   ~   ~   ~   ~   ~   
D     ~   ~   ~   ~   ~   3   ~   ~   ~   ~   ~   
E     ~   ~   ~   ~   ~   ~   ~   2   ~   ~   ~
F     ~   ~   ~   ~   ~   1   ~   ~   ~   ~   3
G     ~   ~   ~   ~   ~   ~   1   ~   2   ~   ~
H     ~   ~   ~   ~   ~   ~   ~   ~   ~   1   ~
I     ~   ~   ~   ~   ~   ~   4   1   ~   ~   1
J     ~   ~   ~   ~   ~   ~   ~   ~   ~   ~   ~
